ra_simbad,dec_simbad,Identifier
16.426821734856002,-32.0767294754,HD 147857
16.399087294444445,-33.19939736111111,HD 147553
16.443307093074665,-33.24671708825,2MASS J16263591-3314481
16.63486897499,-34.01962052551,HD 149735
16.907331764962304,-33.47535430996222,HD 152384
15.419275988664,-26.57527416338,HD 137130
15.421456995508667,-27.49194638163,TYC 6771-369-1
15.685219471244666,-26.94063810038,CD-26 10981
15.948076733083333,-29.214072551388888,* rho Sco
16.059284737285335,-30.13704988633,HD 143811
16.153789528050666,-29.30433152551,HD 144894
16.204455308333333,-28.417308944444446,* 12 Sco
16.337642880791332,-28.71691105841,HD 146974
16.419415456115335,-30.799241264280003,HD 147810
16.39638384836,-28.833997858289997,CD-28 12088
16.636335866202,-29.677902152570002,HD 149790
16.510543035500667,-29.906209409459997,CD-29 12588
16.72366473806133,-30.379959858550002,TYC 7346-610-1
15.552642383333334,-24.490417361111113,HD 138488
15.53538451641,-24.45362007519,CD-24 12146
15.599390740428001,-23.40127521768,2MASS J15355780-2324046
15.69200380263,-25.34342122783,CD-24 12231
15.638310911483332,-23.62520475885,GSC 06777-00831
15.713866772645332,-25.6112778853,TYC 6781-1046-1
15.737040668823333,-25.38308772265,GSC 06781-00908
15.789813630477333,-25.86771183207,HD 140968
15.785408026636,-25.32965874572,CD-24 12289
15.800917493349335,-25.215587774859998,HD 141091
15.833273640021334,-25.15098792816,HD 141441
15.893533,-25.327141305555557,* 2 Sco
15.898309507883333,-24.5331592472,HD 142165
15.910980459235335,-25.243738879480002,* 3 Sco
15.849651239686667,-25.75129407694,* b Sco
15.82249974432,-26.00175523451,CD-25 11113
15.875340965502,-26.5647065629,2MASS J15523122-2633529
15.918397918332666,-25.35293841695,2MASS J15550624-2521102
16.024066724750664,-25.19850430297,HD 143472
16.120186716071334,-27.09946886677,HD 144499
16.04419541260467,-25.70218208476,2MASS J16023910-2542078
16.09740345533133,-25.553782865200002,2MASS J16055065-2533136
16.116098142412003,-27.71937793446,HD 144432
16.145462634003334,-25.376825718190002,HD 144823
16.145390787559332,-26.037998528920003,2MASS J16084340-2602168
16.16827048365,-26.43524818081,GSC 06788-00326
16.181973809160667,-25.522685932709997,HD 145263
16.280729034615998,-25.86297409546,HD 146331
16.197412977777777,-27.552723694444445,HD 145408
16.20505691588889,-27.92637381777778,* c02 Sco
16.30448881158,-28.04170798767,HD 146606
16.249773004905336,-27.839705771149998,2MASS J16145918-2750230
16.249773004905336,-27.839705771149998,2MASS J16145918-2750230
16.43073857811111,-26.56842342611111,HD 147955
16.441642153928,-27.68895729415,HD 148040
16.47359661836333,-27.388452105109998,TYC 6803-1071-1
16.427355593333335,-26.2317459,CD-25 11504
